datetime,air_humidity
2023-08-29 15:00:00,75.718
2023-08-29 15:30:00,76.8018
2023-08-29 16:00:00,78.3391
2023-08-29 16:30:00,80.0918
2023-08-29 17:00:00,81.9963
2023-08-29 17:30:00,84.0389
2023-08-29 18:00:00,86.1459
2023-08-29 18:30:00,88.2962
2023-08-29 19:00:00,90.4833
2023-08-29 19:30:00,92.6248
2023-08-29 20:00:00,94.6918
2023-08-29 20:30:00,96.6703
2023-08-29 21:00:00,98.4653
2023-08-29 21:30:00,99.5703
2023-08-29 22:00:00,99.8797
2023-08-29 22:30:00,99.9663
2023-08-29 23:00:00,99.9906
2023-08-29 23:30:00,99.9974
2023-08-30 00:00:00,99.9993
2023-08-30 00:30:00,99.9998
2023-08-30 01:00:00,99.9999
2023-08-30 01:30:00,100
2023-08-30 02:00:00,100
2023-08-30 02:30:00,100
2023-08-30 03:00:00,100
2023-08-30 03:30:00,99.4341
2023-08-30 04:00:00,97.7155
2023-08-30 04:30:00,95.6274
2023-08-30 05:00:00,93.3965
2023-08-30 05:30:00,91.0936
2023-08-30 06:00:00,88.8225
2023-08-30 06:30:00,86.6131
2023-08-30 07:00:00,84.474
2023-08-30 07:30:00,82.4791
2023-08-30 08:00:00,80.6438
2023-08-30 08:30:00,78.9676
2023-08-30 09:00:00,77.5122
2023-08-30 09:30:00,76.2541
2023-08-30 10:00:00,75.2134
2023-08-30 10:30:00,74.4212
2023-08-30 11:00:00,73.8484
2023-08-30 11:30:00,73.5453
2023-08-30 12:00:00,73.4591
2023-08-30 12:30:00,73.6356
2023-08-30 13:00:00,74.0237
2023-08-30 13:30:00,74.6726
2023-08-30 14:00:00,75.5342
2023-08-30 14:30:00,76.6301
2023-08-30 15:00:00,77.9377
2023-08-30 15:30:00,79.4216
2023-08-30 16:00:00,81.1104
2023-08-30 16:30:00,82.9484
2023-08-30 17:00:00,84.9232
2023-08-30 17:30:00,87.0355
2023-08-30 18:00:00,89.2136
2023-08-30 18:30:00,91.4367
2023-08-30 19:00:00,93.6984
2023-08-30 19:30:00,95.9137
2023-08-30 20:00:00,98.0525
2023-08-30 20:30:00,99.4547
2023-08-30 21:00:00,99.8473
2023-08-30 21:30:00,99.9572
2023-08-30 22:00:00,99.988
2023-08-30 22:30:00,99.9966
2023-08-30 23:00:00,99.9991
2023-08-30 23:30:00,99.9997
2023-08-31 00:00:00,99.9999
2023-08-31 00:30:00,100
2023-08-31 01:00:00,100
2023-08-31 01:30:00,100
2023-08-31 02:00:00,100
2023-08-31 02:30:00,100
2023-08-31 03:00:00,100
2023-08-31 03:30:00,100
2023-08-31 04:00:00,99.3672
2023-08-31 04:30:00,97.5518
2023-08-31 05:00:00,95.3649
2023-08-31 05:30:00,93.0411
2023-08-31 06:00:00,90.7318
2023-08-31 06:30:00,88.4802
2023-08-31 07:00:00,86.2986
2023-08-31 07:30:00,84.2634
2023-08-31 08:00:00,82.3906
2023-08-31 08:30:00,80.6798
2023-08-31 09:00:00,79.1939
2023-08-31 09:30:00,77.9089
2023-08-31 10:00:00,76.8455
2023-08-31 10:30:00,76.0353
2023-08-31 11:00:00,75.4486
2023-08-31 11:30:00,75.1369
2023-08-31 12:00:00,75.0463
2023-08-31 12:30:00,75.2236
2023-08-31 13:00:00,75.6167
2023-08-31 13:30:00,76.2757
2023-08-31 14:00:00,77.1518
2023-08-31 14:30:00,78.267
